Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
10279,14107,Directed,10279_14107,,,2,102400,137,132,11300,1202,6950
11298,11630,Directed,11298_11630,,,1,242000,0,0,92684,3057,363
15841,10926,Directed,15841_10926,,,1,5625,0,0,358,549,133
12266,12951,Directed,12266_12951,,,3333,36697157,150684,107123,185391,7437,131932
13931,10821,Directed,13931_10821,,,1692,62367920,231231,154285,428644,4929,62936
13930,13342,Directed,13930_13342,,,4082,50259191,208319,149338,135247,5494,80700
12892,11921,Directed,12892_11921,,,13,264615,984,705,1260,4592,1542
14880,10304,Directed,14880_10304,,,135,177675,790,211,8496,2844,4964
14107,10918,Directed,14107_10918,,,10,43600,190,77,90,300,784
13003,10299,Directed,13003_10299,,,2,34000,1,0,13781,466,149
14683,13232,Directed,14683_13232,,,704,25924740,95521,65551,235618,34188,95116
12264,13303,Directed,12264_13303,,,1103,34096044,128334,103500,200499,37761,148456
13930,12278,Directed,13930_12278,,,2850,40886898,166409,111309,48860,47040,258796
10785,12324,Directed,10785_12324,,,1,28881,0,0,1568,649,89
13342,15304,Directed,13342_15304,,,639,18117880,81002,63257,23032,29025,89594
12892,10721,Directed,12892_10721,,,2426,119470469,430699,345569,4172483,198436,718169
13196,13676,Directed,13196_13676,,,375,466400,1929,301,7299,1248,6630
14895,13873,Directed,14895_13873,,,258,595329,2164,928,10706,9576,10495
13244,12884,Directed,13244_12884,,,2,53278,0,0,4900,1214,194
14282,12853,Directed,14282_12853,,,208,390650,1048,404,41080,1976,5375
13891,10821,Directed,13891_10821,,,1,41983,157,50,10583,2283,260
10299,14057,Directed,10299_14057,,,573,22088307,84502,70767,636176,43176,110203
11952,12708,Directed,11952_12708,,,1,5600,0,0,1386,74,26
14057,15370,Directed,14057_15370,,,3,353659,140,138,150434,4596,768
14679,12889,Directed,14679_12889,,,5805,210491300,782882,526155,691076,21156,296097
15041,14747,Directed,15041_14747,,,270,4806000,20366,13466,7242,5214,23530
11445,10809,Directed,11445_10809,,,2,3600,18,3,1061,22,35
11066,13198,Directed,11066_13198,,,220,3923032,16820,8730,200,6330,22465
12184,10087,Directed,12184_10087,,,5,6500,25,9,415,62,124
15245,12774,Directed,15245_12774,,,27,72000,243,58,1449,240,157
12719,10313,Directed,12719_10313,,,2,3003,12,3,500,154,74
15721,14856,Directed,15721_14856,,,4,14141,27,3,657,264,92
11637,10397,Directed,11637_10397,,,1,47000,0,0,32440,1123,192
10739,13982,Directed,10739_13982,,,1,3500,0,0,1156,163,73
14683,10693,Directed,14683_10693,,,676,24996100,91844,57650,87589,23838,71850
13487,14524,Directed,13487_14524,,,467,6008090,23755,18507,4566,17460,58315
14919,10551,Directed,14919_10551,,,13,73089,0,0,6905,3128,1127
14275,11540,Directed,14275_11540,,,1,21500,0,0,200,1464,180
15376,15370,Directed,15376_15370,,,5,354059,206,183,158204,4530,651
13930,11278,Directed,13930_11278,,,7027,236644460,906007,683433,95686,58140,579999
10551,10245,Directed,10551_10245,,,9,268765,21,16,15138,1392,582
11292,12758,Directed,11292_12758,,,43,2556480,8880,7808,7181,43277,17801
11057,13422,Directed,11057_13422,,,1010,12401752,50646,30595,9794,7890,81798
10663,12223,Directed,10663_12223,,,173,605500,0,0,99719,936,6809
14883,15295,Directed,14883_15295,,,1,54000,0,0,18670,1195,249
11193,10434,Directed,11193_10434,,,621,6906183,28302,23122,5278,19461,44235
12255,12278,Directed,12255_12278,,,184,644000,0,0,85935,1170,8462
11512,11336,Directed,11512_11336,,,46,97461,306,83,2909,2080,2563
