id,label,timeset,City_name,State_name
35236,"Tok AK",,"Tok AK","Alaska"
30631,"Bemidji MN",,"Bemidji MN","Minnesota"
35356,"Trenton NJ",,"Trenton NJ","New Jersey"
35231,"Tenakee AK",,"Tenakee AK","Alaska"
32233,"Houma LA",,"Houma LA","Louisiana"
33731,"Newport RI",,"Newport RI","Rhode Island"
32235,"Hughes AK",,"Hughes AK","Alaska"
33697,"Cherry Point NC",,"Cherry Point NC","North Carolina"
35628,"Vero Beach FL",,"Vero Beach FL","Florida"
34713,"Schenectady NY",,"Schenectady NY","New York"
34804,"Shungnak AK",,"Shungnak AK","Alaska"
34805,"Shishmaref AK",,"Shishmaref AK","Alaska"
33564,"McCarthy AK",,"McCarthy AK","Alaska"
35625,"Valparaiso IN",,"Valparaiso IN","Indiana"
34718,"Scammon Bay AK",,"Scammon Bay AK","Alaska"
35626,"Vieques PR",,"Vieques PR","Puerto Rico"
32932,"Lebanon-Hanover NH",,"Lebanon-Hanover NH","New Hampshire"
30423,"Austin TX",,"Austin TX","Texas"
30424,"Mosinee WI",,"Mosinee WI","Wisconsin"
30925,"Chadron NE",,"Chadron NE","Nebraska"
32185,"Huron SD",,"Huron SD","South Dakota"
33236,"Rangeley ME",,"Rangeley ME","Maine"
32441,"Jackson WY",,"Jackson WY","Wyoming"
33038,"Laredo TX",,"Laredo TX","Texas"
30050,"Kako AK",,"Kako AK","Alaska"
33429,"Mount Pleasant MI",,"Mount Pleasant MI","Michigan"
33034,"Lanai HI",,"Lanai HI","Hawaii"
32831,"Kasigluk AK",,"Kasigluk AK","Alaska"
33256,"Mission/McAllen/Edinburg TX",,"Mission/McAllen/Edinburg TX","Texas"
33255,"Mansfield OH",,"Mansfield OH","Ohio"
30194,"Dallas TX",,"Dallas TX","Texas"
32719,"Kalskag AK",,"Kalskag AK","Alaska"
32653,"Ekwok AK",,"Ekwok AK","Alaska"
30198,"Pittsburgh PA",,"Pittsburgh PA","Pennsylvania"
33881,"Winona MN",,"Winona MN","Minnesota"
30449,"Alexandria MN",,"Alexandria MN","Minnesota"
30216,"Athens GA",,"Athens GA","Georgia"
32712,"Karluk Lake AK",,"Karluk Lake AK","Alaska"
30054,"Kogru River AK",,"Kogru River AK","Alaska"
35030,"Stuart FL",,"Stuart FL","Florida"
35530,"Bay St. Louis MS",,"Bay St. Louis MS","Mississippi"
35532,"Monument Valley UT",,"Monument Valley UT","Utah"
34412,"Keyes Point AK",,"Keyes Point AK","Alaska"
34802,"Staunton VA",,"Staunton VA","Virginia"
31859,"Galbraith Lake AK",,"Galbraith Lake AK","Alaska"
32228,"Terre Haute IN",,"Terre Haute IN","Indiana"
34934,"Solomon AK",,"Solomon AK","Alaska"
30693,"Nashville TN",,"Nashville TN","Tennessee"
30692,"Big Mountain AK",,"Big Mountain AK","Alaska"
32621,"Birch Creek AK",,"Birch Creek AK","Alaska"
31308,"Dothan AL",,"Dothan AL","Alabama"
34258,"Dublin VA",,"Dublin VA","Virginia"
30107,"Barrow AK",,"Barrow AK","Alaska"
32782,"Port Williams AK",,"Port Williams AK","Alaska"
30451,"Altus OK",,"Altus OK","Oklahoma"
32786,"Akutan AK",,"Akutan AK","Alaska"
32785,"Port Bailey AK",,"Port Bailey AK","Alaska"
32784,"Perryville AK",,"Perryville AK","Alaska"
30999,"Chiloquin OR",,"Chiloquin OR","Oregon"
30852,"Washington DC",,"Washington DC","Virginia"
30778,"Battle Creek MI",,"Battle Creek MI","Michigan"
