Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,741,27316118,100875,87813,264056,73383,93292
30,56,Directed,30_56,,,1368,6712799,26258,3411,79796,12541,59766
1,20,Directed,1_20,,,4,86940,246,225,20500,2852,480
21,17,Directed,21_17,,,13833,313428833,873904,609244,46807729,109269,729202
8,51,Directed,8_51,,,4257,210158573,726673,630695,4361513,190046,717753
24,28,Directed,24_28,,,659,24318050,89629,49021,96681,33391,87129
25,13,Directed,25_13,,,5985,219985682,880478,715004,3131674,90639,847661
47,24,Directed,47_24,,,3856,171244751,409467,309256,39335525,75796,340369
20,32,Directed,20_32,,,254,8582941,37622,34252,14510,24108,36542
45,21,Directed,45_21,,,2837,91346210,111495,78019,31897000,56927,187839
51,2,Directed,51_2,,,2,372540,374,285,99456,6851,859
35,51,Directed,35_51,,,361,11414020,44802,35038,6508,42362,68363
26,8,Directed,26_8,,,3694,104663683,405329,356103,502512,145005,599296
32,35,Directed,32_35,,,2056,75691383,280001,183053,614117,22266,133042
39,48,Directed,39_48,,,10209,306545411,943692,772376,34339170,363072,1491587
2,48,Directed,2_48,,,1337,276908377,43709,40616,211622604,379817,153915
42,49,Directed,42_49,,,636,27000710,103800,92130,124861,44209,170706
45,47,Directed,45_47,,,1863,60447014,65992,41718,24945822,37532,153894
24,49,Directed,24_49,,,969,39504330,148788,127278,237195,89472,255144
13,44,Directed,13_44,,,1139,22595082,84124,74565,9826,22575,127359
33,47,Directed,33_47,,,555,61657332,0,0,36030251,30429,91293
24,27,Directed,24_27,,,1183,40986213,160213,137805,166177,64624,164759
37,72,Directed,37_72,,,1020,65535592,144778,124222,12718720,86896,185567
26,6,Directed,26_6,,,4010,163609520,640365,592045,599088,265906,1082197
41,17,Directed,41_17,,,2165,91306360,335739,303363,2088788,125428,446542
40,12,Directed,40_12,,,17,701365,2537,2188,1215,17458,2362
44,18,Directed,44_18,,,184,10253979,681,449,3269167,14171,19851
37,33,Directed,37_33,,,634,18994548,75706,56631,3270,36113,63648
17,47,Directed,17_47,,,15408,403636134,1028122,739946,92260911,216694,1056690
36,26,Directed,36_26,,,17601,361776665,1409819,1110041,1716295,250484,1307706
29,34,Directed,29_34,,,4484,53607273,218179,162258,23740,66070,581234
26,5,Directed,26_5,,,696,9084665,35257,26460,65024,29812,75349
2,41,Directed,2_41,,,623,24602329,94439,77617,754377,45833,122682
26,9,Directed,26_9,,,1741,44254658,170110,143256,52116,43971,130759
21,19,Directed,21_19,,,1751,49902773,70211,46394,18941438,43287,130920
27,38,Directed,27_38,,,8652,160780079,617747,389455,724277,94696,466688
19,42,Directed,19_42,,,164,16312701,724,524,10574559,20867,20091
27,13,Directed,27_13,,,5811,209273961,843460,658265,725485,104028,708585
39,22,Directed,39_22,,,368,4492836,19095,14079,17217,33455,50352
29,9,Directed,29_9,,,322,3682220,15121,10232,175,20521,39908
39,33,Directed,39_33,,,1156,13956981,58118,48617,519,8787,84405
36,34,Directed,36_34,,,9116,132018114,448253,323603,5059967,68777,451080
37,21,Directed,37_21,,,10624,240426227,561483,411147,48132786,130575,648742
5,6,Directed,5_6,,,166,4168799,16588,12703,97503,25079,31538
29,40,Directed,29_40,,,3405,96128665,354338,228437,615651,65315,215077
27,33,Directed,27_33,,,80,1805800,6054,5522,496,6536,10603
39,13,Directed,39_13,,,15690,368909617,1403375,1085597,12710947,181529,1255909
26,1,Directed,26_1,,,1696,22910239,87778,64187,14657,33837,151963
46,29,Directed,46_29,,,2,112316,0,0,31420,786,106
24,35,Directed,24_35,,,540,19678700,72915,66210,117686,43420,127119
18,27,Directed,18_27,,,2809,106153063,234529,183798,25671156,76316,227736
22,24,Directed,22_24,,,441,15183787,57735,48076,331360,37902,56336
39,25,Directed,39_25,,,3196,66654451,242767,170867,3541855,83064,272790
35,17,Directed,35_17,,,1889,54712714,202620,174593,189196,71333,261806
36,33,Directed,36_33,,,1410,13219455,45663,22916,939699,7009,75944
53,13,Directed,53_13,,,2561,140564155,471720,440095,8205591,106918,635800
21,6,Directed,21_6,,,5324,511744430,320744,281725,237409895,516183,1328730
