Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
15370,14696,Directed,15370_14696,,,1,39800,199,177,0,640,87
13931,14960,Directed,13931_14960,,,1,35300,140,123,0,1270,212
10279,14107,Directed,10279_14107,,,3,110800,411,264,170,1803,315
12992,10135,Directed,12992_10135,,,3,54000,100,68,6740,3012,471
14704,14098,Directed,14704_14098,,,2,17300,74,49,0,198,52
10241,12719,Directed,10241_12719,,,10,16954,67,25,290,318,274
14570,13388,Directed,14570_13388,,,88,1566400,6688,2427,50,552,3158
15841,10926,Directed,15841_10926,,,5,28092,0,0,490,2196,585
12758,10397,Directed,12758_10397,,,1,190781,0,0,24297,4447,488
12266,12951,Directed,12266_12951,,,2910,31999002,135788,100580,42808,5025,113590
15589,11869,Directed,15589_11869,,,1611,9855900,44667,39755,0,6020,72055
11540,13851,Directed,11540_13851,,,1,37400,137,136,172,563,82
13931,10821,Directed,13931_10821,,,1485,54377925,200852,149172,359723,5565,56293
10408,12889,Directed,10408_12889,,,144,4889000,21580,19863,0,18120,30546
13930,13342,Directed,13930_13342,,,4454,58375658,217349,160263,172742,3886,91239
12892,11921,Directed,12892_11921,,,123,3937495,17112,14791,680,15088,11396
11057,11986,Directed,11057_11986,,,1,12350,50,39,0,583,164
14880,10304,Directed,14880_10304,,,122,178175,775,206,2584,2528,4901
14107,10918,Directed,14107_10918,,,2,34140,126,103,0,600,239
14843,14107,Directed,14843_14107,,,1,49300,182,157,212,3016,474
14100,13125,Directed,14100_13125,,,1,5300,7,1,0,291,48
10590,14831,Directed,10590_14831,,,14,485628,2050,1608,0,5707,1031
14683,13232,Directed,14683_13232,,,684,25027900,92643,72840,380853,32116,91916
10599,13342,Directed,10599_13342,,,2,24500,100,39,0,1300,265
10620,13295,Directed,10620_13295,,,1,125975,0,0,31056,822,124
12021,14524,Directed,12021_14524,,,1,42500,173,41,0,522,80
12264,13303,Directed,12264_13303,,,1449,41450557,151472,113559,231926,33156,194848
13930,12278,Directed,13930_12278,,,2973,36818686,148428,110490,4287,38220,264508
10408,15502,Directed,10408_15502,,,2,54000,260,223,0,1336,174
10559,10385,Directed,10559_10385,,,1,3150,9,2,0,121,0
14108,13543,Directed,14108_13543,,,1,12000,50,24,0,204,33
12197,13731,Directed,12197_13731,,,8,30700,64,29,0,910,318
13342,15304,Directed,13342_15304,,,945,25959776,106802,93048,7098,50525,132598
14533,14524,Directed,14533_14524,,,1,42500,174,33,0,2243,258
11292,14689,Directed,11292_14689,,,1223,23937631,86147,70408,277,31144,160069
12892,10721,Directed,12892_10721,,,3352,142043374,533379,459351,3191630,266322,1001477
13196,13676,Directed,13196_13676,,,316,382175,1597,320,5276,1248,6018
14574,14783,Directed,14574_14783,,,1,59480,0,0,20932,738,94
14895,13873,Directed,14895_13873,,,164,417999,1400,518,7448,9324,6569
11003,13342,Directed,11003_13342,,,1,12000,50,40,0,208,55
12339,14683,Directed,12339_14683,,,2,40668,108,77,0,1972,290
12831,12807,Directed,12831_12807,,,6,8828,21,4,859,516,255
12815,16346,Directed,12815_16346,,,5,6000,30,10,0,62,68
12653,10551,Directed,12653_10551,,,2,2600,16,5,0,180,106
12184,10008,Directed,12184_10008,,,2,2600,10,4,130,72,31
14986,13184,Directed,14986_13184,,,1,38110,148,144,518,1116,177
14282,12853,Directed,14282_12853,,,274,382850,1515,563,23617,1768,7467
12448,10136,Directed,12448_10136,,,1,11720,50,48,0,562,136
10299,14057,Directed,10299_14057,,,706,26368965,108330,87282,821982,50886,137215
10599,11953,Directed,10599_11953,,,1,24000,100,72,0,375,62
11952,12708,Directed,11952_12708,,,5,7750,33,32,0,296,177
10529,14633,Directed,10529_14633,,,1,21502,76,76,0,1012,252
14679,12889,Directed,14679_12889,,,4139,152312291,563691,411981,479615,10062,209723
13123,11042,Directed,13123_11042,,,1,5600,0,0,851,517,75
14229,16340,Directed,14229_16340,,,1,1850,6,1,25,95,46
11193,12915,Directed,11193_12915,,,3,36000,150,137,0,2352,461
14738,13863,Directed,14738_13863,,,1,1720,7,7,0,307,115
15041,14747,Directed,15041_14747,,,96,1708800,7296,4513,0,2370,8355
13796,15041,Directed,13796_15041,,,1,2000,7,2,0,576,78
11630,12807,Directed,11630_12807,,,4,14761,67,55,0,2056,465
11066,13198,Directed,11066_13198,,,211,5969916,20583,13919,16635,10128,20430
13204,10434,Directed,13204_10434,,,18,660600,2466,2088,0,8496,2259
10620,11470,Directed,10620_11470,,,2,35600,152,75,52,566,189
13230,10599,Directed,13230_10599,,,1,36700,137,133,0,717,101
15798,15257,Directed,15798_15257,,,1,1250,0,0,1164,48,22
12184,10087,Directed,12184_10087,,,1,1300,5,1,0,31,18
15245,12774,Directed,15245_12774,,,20,54850,176,47,658,150,122
14098,13204,Directed,14098_13204,,,358,8950000,41886,32693,0,7944,34312
14120,14457,Directed,14120_14457,,,1,3500,0,0,1329,140,45
15016,10185,Directed,15016_10185,,,2,22972,100,81,0,1052,266
10170,10041,Directed,10170_10041,,,1,1392,4,1,0,80,54
12266,14112,Directed,12266_14112,,,1,31397,160,56,9885,779,97
10551,11028,Directed,10551_11028,,,15,23986,100,28,200,1305,1024
15721,14856,Directed,15721_14856,,,5,9732,40,13,592,330,126
11833,14013,Directed,11833_14013,,,2,6682,33,20,0,730,171
14683,10693,Directed,14683_10693,,,663,24467900,90771,69239,183323,22194,70807
13487,14524,Directed,13487_14524,,,202,4005678,15313,11493,0,9700,24383
12206,10747,Directed,12206_10747,,,1,12000,50,49,0,26,9
15581,11643,Directed,15581_11643,,,2,5630,28,15,0,310,84
12348,13296,Directed,12348_13296,,,2,24000,100,79,0,1326,185
11298,15070,Directed,11298_15070,,,1,29510,114,98,184,1392,224
14492,14635,Directed,14492_14635,,,8,182600,683,563,0,3335,977
14027,15024,Directed,14027_15024,,,1,3615,9,5,0,1123,0
11995,10136,Directed,11995_10136,,,1,11720,50,45,0,1156,183
14275,11540,Directed,14275_11540,,,1,18500,0,0,11376,1464,252
15376,15370,Directed,15376_15370,,,2,212950,0,0,115032,1812,267
13824,11109,Directed,13824_11109,,,1,29700,68,56,0,493,87
13930,11278,Directed,13930_11278,,,7805,247916558,970163,749525,47388,51408,637929
10154,12250,Directed,10154_12250,,,8095,15303340,72836,31819,8319,510,123370
10551,10245,Directed,10551_10245,,,4,148740,37,26,2887,696,313
11292,12758,Directed,11292_12758,,,62,4174920,13950,11619,19509,49935,25996
11057,13422,Directed,11057_13422,,,984,12070500,49296,31849,8473,7364,80320
11931,10155,Directed,11931_10155,,,1,12500,50,42,0,387,57
10396,13767,Directed,10396_13767,,,4,17500,76,54,159,604,146
11367,12252,Directed,11367_12252,,,6,11100,36,0,279,96,63
10620,11879,Directed,10620_11879,,,163,733500,3097,432,0,1608,7381
14588,15570,Directed,14588_15570,,,1,34000,150,68,0,743,114
11193,10434,Directed,11193_10434,,,3,38500,150,137,0,1497,365
11292,13295,Directed,11292_13295,,,7,561903,0,0,138528,3580,942
15589,14794,Directed,15589_14794,,,1,3800,19,18,0,108,122
14288,11867,Directed,14288_11867,,,5,22500,95,48,0,828,218
13344,13184,Directed,13344_13184,,,1,7845,34,13,0,111,65
13264,11292,Directed,13264_11292,,,487,8409990,31102,28673,0,18316,60442
12184,15228,Directed,12184_15228,,,1,1300,5,2,0,191,133
10299,11487,Directed,10299_11487,,,6,162000,0,0,551,9,36
15412,10216,Directed,15412_10216,,,1,12000,50,26,0,134,26
11550,15554,Directed,11550_15554,,,10,19654,78,51,0,564,394
11603,13264,Directed,11603_13264,,,8,163743,756,311,2317,976,224
15581,11007,Directed,15581_11007,,,5,17142,35,0,3288,390,157
13495,14288,Directed,13495_14288,,,1,36700,137,133,0,995,186
12195,11336,Directed,12195_11336,,,1,2800,9,9,0,314,125
11292,14908,Directed,11292_14908,,,4141,146078189,573952,449825,163278,60912,498579
15839,14259,Directed,15839_14259,,,1,42500,174,100,0,1001,130
11487,15250,Directed,11487_15250,,,2,54000,0,0,21500,462,136
10185,15295,Directed,10185_15295,,,12,502384,1868,193,0,6006,1437
11540,10423,Directed,11540_10423,,,1290,47820680,176206,104561,859768,20064,91674
12892,14877,Directed,12892_14877,,,3,159143,0,0,115030,2404,421
11540,13232,Directed,11540_13232,,,1,36700,137,8,0,1237,149
10994,10519,Directed,10994_10519,,,1,2442,12,3,0,450,0
12709,10551,Directed,12709_10551,,,1097,1308773,6261,2190,2684,1200,14812
12954,13198,Directed,12954_13198,,,1,27984,160,55,9620,1353,155
15700,14273,Directed,15700_14273,,,1,3675,9,9,0,174,56
10241,11492,Directed,10241_11492,,,2,1600,6,3,0,110,66
10423,12896,Directed,10423_12896,,,641,23761490,87246,51159,42994,12958,33955
13303,15024,Directed,13303_15024,,,720,36451210,134918,115599,263708,14391,95255
14492,14082,Directed,14492_14082,,,1,30000,150,146,0,645,89
15624,12265,Directed,15624_12265,,,5,163965,680,292,0,966,625
11423,12889,Directed,11423_12889,,,224,7616000,33600,31271,0,14592,38016
14275,12339,Directed,14275_12339,,,5,106014,284,189,2250,1008,227
11267,10529,Directed,11267_10529,,,1,36000,168,85,0,619,86
10140,13277,Directed,10140_13277,,,1,21226,0,0,8456,1178,143
13303,11278,Directed,13303_11278,,,3271,133057220,482801,395443,19323,15640,399684
11778,13244,Directed,11778_13244,,,1030,11412489,46971,31989,0,5727,49965
10754,10053,Directed,10754_10053,,,3,8031,27,7,0,48,69
13487,13029,Directed,13487_13029,,,1105,14016943,55550,39928,492,11585,59277
13931,11973,Directed,13931_11973,,,4,124043,490,431,0,3460,530
14122,14711,Directed,14122_14711,,,773,2705500,0,0,1401711,1536,36566
11433,14457,Directed,11433_14457,,,3,79252,272,215,112,3006,445
14321,11193,Directed,14321_11193,,,1,55123,0,0,6956,810,133
13795,12323,Directed,13795_12323,,,1,13500,50,44,0,42,32
11778,13851,Directed,11778_13851,,,1,12900,50,31,0,183,39
14747,13232,Directed,14747_13232,,,930,34138230,127135,115837,888198,50257,197576
14635,11433,Directed,14635_11433,,,1963,81022902,322398,270458,28002,72695,289014
13487,12992,Directed,13487_12992,,,3,66110,274,234,89,2109,391
10529,11057,Directed,10529_11057,,,2083,67384724,265930,217104,64164,47012,209433
14736,13198,Directed,14736_13198,,,1,5600,0,0,501,1328,175
12888,14534,Directed,12888_14534,,,6,29000,125,53,0,1122,383
13303,13158,Directed,13303_13158,,,1,51300,188,177,0,1392,191
11775,14120,Directed,11775_14120,,,257,899500,0,0,392119,2220,17664
14275,13461,Directed,14275_13461,,,2,37000,0,0,11000,488,186
10800,13232,Directed,10800_13232,,,8,21000,96,28,0,12180,1895
13890,11198,Directed,13890_11198,,,600,2071650,0,0,181206,912,10960
10967,13061,Directed,10967_13061,,,1,28565,0,0,7055,882,118
12898,12891,Directed,12898_12891,,,1,12000,50,22,0,1115,146
13487,11471,Directed,13487_11471,,,125,1268680,5430,2906,10,1020,3071
13198,12448,Directed,13198_12448,,,1,12000,50,50,0,547,84
11267,10821,Directed,11267_10821,,,998,25317000,117499,87062,0,6902,62347
13894,13434,Directed,13894_13434,,,1,1117,6,1,800,117,64
11315,10620,Directed,11315_10620,,,1,6500,30,21,0,283,70
13204,15249,Directed,13204_15249,,,1026,3909912,11560,3586,792985,5221,71160
13851,11638,Directed,13851_11638,,,17,970137,0,0,310942,2478,2929
13029,13796,Directed,13029_13796,,,1,18000,122,84,0,1377,185
13303,11996,Directed,13303_11996,,,142,11521859,362,313,1642776,16588,12431
11775,12264,Directed,11775_12264,,,7,288188,1146,1129,0,5255,879
12294,14468,Directed,12294_14468,,,1,1400,7,7,0,54,36
10994,10581,Directed,10994_10581,,,75,19738400,0,0,14361380,8144,0
15061,10184,Directed,15061_10184,,,1,1512,9,4,0,107,45
10721,11066,Directed,10721_11066,,,946,11035086,47309,36199,1123,23040,97764
10821,10581,Directed,10821_10581,,,1,37400,150,72,0,560,77
12653,14468,Directed,12653_14468,,,2,2100,11,9,0,164,72
15249,12992,Directed,15249_12992,,,1,12500,50,34,0,547,149
11643,10559,Directed,11643_10559,,,1,35000,100,100,0,1524,205
14193,15249,Directed,14193_15249,,,6,23880,114,57,0,676,690
11433,10431,Directed,11433_10431,,,629,7843680,31450,22273,0,9870,45457
12892,13422,Directed,12892_13422,,,1,42500,174,173,0,1773,200
10721,13871,Directed,10721_13871,,,1,19092,76,54,0,1282,197
13796,10821,Directed,13796_10821,,,3,152948,398,247,0,7341,883
10194,13891,Directed,10194_13891,,,141,8095872,0,0,4492598,11710,21046
10397,11481,Directed,10397_11481,,,1696,30912920,119330,85412,9047,10080,67969
12191,11298,Directed,12191_11298,,,2632,32422140,132799,106362,8120,8645,125406
12478,13931,Directed,12478_13931,,,936,11486652,47107,34628,460,11560,49698
13891,15412,Directed,13891_15412,,,1,51960,183,183,25,1902,276
15532,11869,Directed,15532_11869,,,7,10700,47,40,0,524,420
14747,10423,Directed,14747_10423,,,357,14689164,55571,50580,94012,53100,75403
10785,14100,Directed,10785_14100,,,1804,37794570,123241,96202,2371,16464,119949
13422,10599,Directed,13422_10599,,,1,13500,50,14,0,216,86
14718,13369,Directed,14718_13369,,,6,10665,45,26,0,585,312
10540,14107,Directed,10540_14107,,,1,36199,68,40,0,2286,318
14107,11726,Directed,14107_11726,,,1,24000,76,72,0,988,120
11844,10551,Directed,11844_10551,,,2,10054,46,23,0,630,194
15016,11905,Directed,15016_11905,,,1,38700,140,135,0,502,142
10785,13230,Directed,10785_13230,,,2,32000,116,112,0,696,247
13851,11292,Directed,13851_11292,,,3912,102239858,387364,301470,236543,62865,306469
11952,12831,Directed,11952_12831,,,4,5400,27,25,0,378,210
11298,12264,Directed,11298_12264,,,2717,94174284,354529,254301,371344,73836,397673
10693,11109,Directed,10693_11109,,,7,139999,533,438,0,7042,1213
10423,13029,Directed,10423_13029,,,3,106533,366,309,1480,2208,303
10423,10194,Directed,10423_10194,,,592,2184913,140,139,985895,2702,41433
11630,12087,Directed,11630_12087,,,4,10740,34,9,2745,1640,568
12243,15295,Directed,12243_15295,,,2,11200,0,0,10684,762,120
13502,14869,Directed,13502_14869,,,178,2424420,8978,5430,0,2144,8354
12769,12779,Directed,12769_12779,,,1,2556,9,9,0,215,76
13495,11481,Directed,13495_11481,,,1,36700,137,128,0,268,43
10300,15249,Directed,10300_15249,,,2,24000,100,61,0,298,93
14457,14057,Directed,14457_14057,,,3,58000,105,34,22344,1928,535
12841,10299,Directed,12841_10299,,,4,19636,28,19,2091,1851,644
15024,15626,Directed,15024_15626,,,12,133561,204,83,2361,222,210
14130,14282,Directed,14130_14282,,,3,4200,21,13,906,354,177
12217,16091,Directed,12217_16091,,,31,882533,0,0,312470,6636,2612
10849,13487,Directed,10849_13487,,,885,23132289,89123,73287,11242,30590,101561
12012,11298,Directed,12012_11298,,,119,5172210,19259,10846,705,3390,10351
13851,13342,Directed,13851_13342,,,2,31010,104,61,0,1472,245
11042,10980,Directed,11042_10980,,,1,13500,50,47,0,476,122
13970,14102,Directed,13970_14102,,,1352,4335738,12945,3964,324418,17400,67833
13930,10868,Directed,13930_10868,,,960,13091000,48500,34604,51,17316,85231
10599,12223,Directed,10599_12223,,,1,39500,150,136,0,406,66
14275,11980,Directed,14275_11980,,,1,15500,0,0,12600,777,174
12016,12173,Directed,12016_12173,,,374,34257804,94299,84434,7232832,76020,155441
15096,12197,Directed,15096_12197,,,6,63140,210,148,0,1122,247
10423,14635,Directed,10423_14635,,,2,62900,237,200,0,2002,316
14747,11292,Directed,14747_11292,,,5600,217748034,841612,734101,2237194,160768,724070
12478,10431,Directed,12478_10431,,,1,11486,50,42,0,597,119
16091,10158,Directed,16091_10158,,,1,16500,50,32,0,507,71
12889,10721,Directed,12889_10721,,,746,28329810,111979,94034,31959,71430,202714
11259,14057,Directed,11259_14057,,,2,25308,67,46,2400,3252,471
13865,12652,Directed,13865_12652,,,1,600,3,2,0,62,65
14696,13198,Directed,14696_13198,,,1,33770,142,79,0,472,76
10693,14100,Directed,10693_14100,,,2043,50112330,170264,145533,179917,51975,196817
15370,13851,Directed,15370_13851,,,113,8278594,975,687,2481426,4662,2828
10170,12866,Directed,10170_12866,,,185,300899,897,457,43418,3552,7255
14696,10599,Directed,14696_10599,,,1,12500,50,48,0,562,108
11638,14057,Directed,11638_14057,,,363,6570300,25410,19950,35800,7512,30131
10785,12197,Directed,10785_12197,,,1,3450,8,2,0,237,66
10599,15502,Directed,10599_15502,,,3,60400,290,161,0,660,126
10466,12266,Directed,10466_12266,,,1,35000,156,49,0,987,145
12348,13232,Directed,12348_13232,,,1,12000,50,39,0,562,96
12844,12268,Directed,12844_12268,,,8,20504,72,39,0,854,359
11193,15411,Directed,11193_15411,,,3,34790,144,133,2,2277,468
12191,12992,Directed,12191_12992,,,365,13431200,49165,30552,53353,12969,20696
12544,15167,Directed,12544_15167,,,1,12000,50,35,0,522,81
10194,11292,Directed,10194_11292,,,138,7989984,0,0,4685336,5008,11787
14098,12884,Directed,14098_12884,,,1,32793,136,105,0,580,80
14843,11732,Directed,14843_11732,,,1,5300,7,7,0,1106,192
12266,11122,Directed,12266_11122,,,2,51226,0,0,11885,2166,310
13434,13369,Directed,13434_13369,,,71,100816,414,182,8389,1083,2265
11941,13873,Directed,11941_13873,,,472,1206414,4023,1233,13471,6264,13216
14231,10589,Directed,14231_10589,,,1,7140,34,11,0,155,55
10469,10800,Directed,10469_10800,,,1,2000,8,3,0,1856,243
10590,15919,Directed,10590_15919,,,2,83119,324,253,0,2278,266
12889,11719,Directed,12889_11719,,,216,7344000,32400,29179,0,7536,19002
12451,14122,Directed,12451_14122,,,1,37400,137,133,0,695,132
15016,11259,Directed,15016_11259,,,2612,96558038,356817,287772,833819,21294,212750
11996,11057,Directed,11996_11057,,,2670,49495758,134901,99289,27499,6075,71688
12264,12945,Directed,12264_12945,,,1,11500,50,30,0,392,146
14696,14771,Directed,14696_14771,,,1,37400,150,148,0,1929,232
10397,11921,Directed,10397_11921,,,5,150050,553,368,180,4170,1155
11952,15257,Directed,11952_15257,,,1,1200,6,0,30,139,59
13244,13422,Directed,13244_13422,,,1024,13367240,51226,36573,0,6340,50383
14057,14689,Directed,14057_14689,,,1,18100,70,70,0,784,94
15919,10590,Directed,15919_10590,,,2,83119,324,256,0,2278,306
10172,11423,Directed,10172_11423,,,2,72199,236,72,0,1814,264
11292,14543,Directed,11292_14543,,,980,6551229,26364,12785,0,6500,58810
12264,11042,Directed,12264_11042,,,1990,23410620,91330,59742,4535,14112,116932
12264,15304,Directed,12264_15304,,,1306,53385072,201781,155253,55803,48600,148522
15054,11252,Directed,15054_11252,,,1,6400,30,27,0,453,102
14268,12321,Directed,14268_12321,,,171,221070,1021,89,3249,962,2975
10431,11618,Directed,10431_11618,,,406,4872000,20300,13234,218,6996,35806
10721,14771,Directed,10721_14771,,,3620,160620023,587915,503211,1341279,237952,1316727
12339,15304,Directed,12339_15304,,,1134,35768918,143919,122540,384378,38548,127189
10247,13970,Directed,10247_13970,,,2,10000,38,15,0,301,164
13501,10728,Directed,13501_10728,,,1,2000,7,2,0,874,150
