id,label,timeset,Airport,City_name,State_name
14853,"SKF",,"SKF","San Antonio TX","Texas"
13467,"MRI",,"MRI","Anchorage AK","Alaska"
14919,"SNP",,"SNP","St. Paul AK","Alaska"
10299,"ANC",,"ANC","Anchorage AK","Alaska"
14856,"SKK",,"SKK","Shaktoolik AK","Alaska"
14679,"SAN",,"SAN","San Diego CA","California"
11825,"FWL",,"FWL","Farewell AK","Alaska"
11824,"FWH",,"FWH","Dallas/Fort Worth TX","Texas"
14674,"SAF",,"SAF","Santa Fe NM","New Mexico"
16510,"NC7",,"NC7","Beaufort NC","North Carolina"
11820,"FVX",,"FVX","Grace Harbor AK","Alaska"
11823,"FWA",,"FWA","Fort Wayne IN","Indiana"
15024,"STT",,"STT","Charlotte Amalie VI","U.S. Virgin Islands"
11540,"ELP",,"ELP","El Paso TX","Texas"
10519,"BCT",,"BCT","Boca Raton FL","Florida"
11547,"ELY",,"ELY","Ely NV","Nevada"
13731,"NPT",,"NPT","Newport RI","Rhode Island"
11545,"ELV",,"ELV","Elfin Cove AK","Alaska"
11982,"GRK",,"GRK","Killeen TX","Texas"
15454,"UIN",,"UIN","Quincy IL","Illinois"
11980,"GRI",,"GRI","Grand Island NE","Nebraska"
13301,"MI2",,"MI2","Holland MI","Michigan"
11986,"GRR",,"GRR","Grand Rapids MI","Michigan"
10298,"ANB",,"ANB","Anniston AL","Alabama"
11381,"AA8",,"AA8","Deadhorse AK","Alaska"
14855,"SKJ",,"SKJ","Sitkinak AK","Alaska"
12523,"JNU",,"JNU","Juneau AK","Alaska"
14986,"SRQ",,"SRQ","Sarasota/Bradenton FL","Florida"
11388,"DQH",,"DQH","Alpine AK","Alaska"
13228,"MDR",,"MDR","Medfra AK","Alaska"
13087,"LSV",,"LSV","Las Vegas NV","Nevada"
11267,"DAY",,"DAY","Dayton OH","Ohio"
13295,"MHR",,"MHR","Sacramento CA","California"
10581,"BGR",,"BGR","Bangor ME","Maine"
11859,"GBH",,"GBH","Galbraith Lake AK","Alaska"
13241,"MEI",,"MEI","Meridian MS","Mississippi"
13863,"OLH",,"OLH","Old Harbor AK","Alaska"
13246,"MEO",,"MEO","Manteo NC","North Carolina"
16525,"PA5",,"PA5","West Chester PA","Pennsylvania"
13244,"MEM",,"MEM","Memphis TN","Tennessee"
10589,"BHB",,"BHB","Bar Harbor ME","Maine"
11856,"GBD",,"GBD","Great Bend KS","Kansas"
15824,"WQL",,"WQL","Bluff AK","Alaska"
12932,"LEB",,"LEB","Lebanon-Hanover NH","New Hampshire"
10613,"BID",,"BID","Block Island RI","Rhode Island"
15618,"VNY",,"VNY","Burbank CA","California"
13024,"LMT",,"LMT","Klamath Falls OR","Oregon"
14672,"SAC",,"SAC","Sacramento CA","California"
14218,"PPC",,"PPC","Prospect Creek AK","Alaska"
10204,"AGN",,"AGN","Angoon AK","Alaska"
12705,"KKB",,"KKB","Kitoi Bay AK","Alaska"
12704,"KKA",,"KKA","Koyuk AK","Alaska"
12709,"KKI",,"KKI","Akiachak AK","Alaska"
12708,"KKH",,"KKH","Kongiganak AK","Alaska"
11126,"CPX",,"CPX","Culebra PR","Puerto Rico"
14212,"POU",,"POU","Poughkeepsie NY","New York"
11283,"DDC",,"DDC","Dodge City KS","Kansas"
10208,"AGS",,"AGS","Augusta GA","Georgia"
15754,"WHD",,"WHD","Hyder AK","Alaska"
10967,"CGI",,"CGI","Cape Girardeau MO","Missouri"
11050,"CLM",,"CLM","Port Angeles WA","Washington"
10194,"AFW",,"AFW","Dallas/Fort Worth TX","Texas"
13028,"LNI",,"LNI","Lonely AK","Alaska"
10961,"CGA",,"CGA","Craig AK","Alaska"
14182,"PNE",,"PNE","Philadelphia PA","Pennsylvania"
12663,"KFP",,"KFP","False Pass AK","Alaska"
10198,"AGC",,"AGC","Pittsburgh PA","Pennsylvania"
12661,"OCA",,"OCA","Key Largo FL","Florida"
13016,"LMA",,"LMA","Lake Minchumina AK","Alaska"
15855,"WST",,"WST","Westerly RI","Rhode Island"
15856,"WSX",,"WSX","Westsound WA","Washington"
11448,"DVN",,"DVN","Moline IL","Iowa"
15511,"UVA",,"UVA","Uvalde TX","Texas"
15853,"WSN",,"WSN","South Naknek AK","Alaska"
13674,"NHZ",,"NHZ","Brunswick ME","Maine"
10800,"BUR",,"BUR","Burbank CA","California"
14543,"RKS",,"RKS","Rock Springs WY","Wyoming"
10615,"BIF",,"BIF","El Paso TX","Texas"
15534,"LPR",,"LPR","Lorain/Elyria OH","Ohio"
