Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
35887,30241,Directed,35887_30241,,,1,1275,0,0,100,115,56
33304,30590,Directed,33304_30590,,,5,221043,846,701,0,4528,744
35041,32457,Directed,35041_32457,,,1,4974,13,8,0,576,90
31503,30325,Directed,31503_30325,,,1183,25015430,94492,50640,0,2647,34916
30559,30397,Directed,30559_30397,,,2815,150840003,519437,480487,7707635,157104,704389
33105,30194,Directed,33105_30194,,,3407,69020309,175263,126508,14202459,97433,422076
34234,30241,Directed,34234_30241,,,3,8150,24,13,0,270,133
34685,31871,Directed,34685_31871,,,1,12240,50,18,0,200,133
31537,33987,Directed,31537_33987,,,9,38450,72,41,0,600,450
31537,30431,Directed,31537_30431,,,11,203500,0,0,120420,1110,1266
35412,33495,Directed,35412_33495,,,2,57540,250,192,235,1082,160
30581,30189,Directed,30581_30189,,,2,528000,0,0,324720,3764,0
30397,31641,Directed,30397_31641,,,2974,41387290,154900,123212,4289,5958,149104
32945,31995,Directed,32945_31995,,,1,24062,50,21,0,290,109
31844,32769,Directed,31844_32769,,,1,3400,9,2,650,233,84
31603,33890,Directed,31603_33890,,,2,6900,0,0,300,104,78
33495,30436,Directed,33495_30436,,,1,38879,148,134,0,1234,152
30559,32134,Directed,30559_32134,,,1548,93430895,313351,287881,6060012,107080,521606
31267,32575,Directed,31267_32575,,,1,42500,173,83,0,1925,275
30423,34492,Directed,30423_34492,,,2,67175,193,178,0,2324,356
34601,33676,Directed,34601_33676,,,24,29800,119,35,120,887,707
31650,30849,Directed,31650_30849,,,863,24303305,91116,79167,49419,29716,111738
32195,32831,Directed,32195_32831,,,4,19600,9,1,3623,387,183
31295,31067,Directed,31295_31067,,,6,136379,508,217,0,1167,355
32467,34492,Directed,32467_34492,,,1911,70232229,259377,204403,492830,59120,192087
33570,30852,Directed,33570_30852,,,1797,72388230,273760,251540,324097,106479,468550
33714,32653,Directed,33714_32653,,,1,1093,5,2,0,46,20
33195,31871,Directed,33195_31871,,,193,6571864,28587,26170,13175,7221,13437
31650,32888,Directed,31650_32888,,,2,74800,274,266,0,1352,283
33546,30372,Directed,33546_30372,,,1,4523,9,4,0,834,0
33316,33502,Directed,33316_33502,,,1,2266,10,9,0,665,0
30666,31588,Directed,30666_31588,,,2177,3726100,8376,554,308975,648,24831
30599,32448,Directed,30599_32448,,,2,74100,274,174,0,422,94
33214,34570,Directed,33214_34570,,,1,27000,130,125,0,1391,180
30977,35249,Directed,30977_35249,,,1,34500,137,113,0,808,100
35293,30113,Directed,35293_30113,,,56,114350,445,83,530,3105,2761
30325,35843,Directed,30325_35843,,,20,90000,380,104,0,2310,1609
30977,32441,Directed,30977_32441,,,407,17531580,66468,48532,602,26726,65518
31612,31905,Directed,31612_31905,,,1,12350,50,27,0,563,133
35165,32575,Directed,35165_32575,,,171,17243000,0,0,10919254,37043,44168
32457,33198,Directed,32457_33198,,,1242,32893287,120267,103604,171122,91108,222811
30559,31895,Directed,30559_31895,,,722,12851600,54850,39689,194609,6144,59044
31517,31555,Directed,31517_31555,,,2,13777,65,34,995,626,180
30135,34108,Directed,30135_34108,,,1,12646,50,15,0,748,161
30590,31122,Directed,30590_31122,,,7,260484,1082,882,0,4134,639
30385,34057,Directed,30385_34057,,,106,250800,950,218,0,365,3042
31454,32945,Directed,31454_32945,,,267,7863500,33946,27041,0,11713,25866
30325,32945,Directed,30325_32945,,,1,36700,137,111,0,1086,164
30529,34524,Directed,30529_34524,,,2,37636,156,132,0,786,218
30397,30852,Directed,30397_30852,,,18845,620526737,2546624,1932543,1354899,223476,1496799
33244,32474,Directed,33244_32474,,,960,11952381,47856,37489,42,4320,47397
30599,30928,Directed,30599_30928,,,1,13500,50,24,0,664,92
33667,33244,Directed,33667_33244,,,564,35723593,0,0,17293489,29716,64910
31973,30868,Directed,31973_30868,,,9,316701,1152,1018,0,4731,684
34102,34125,Directed,34102_34125,,,107,462446,1168,384,8663,3752,4878
30009,30036,Directed,30009_30036,,,174,208800,1044,248,1920,304,1566
30928,33198,Directed,30928_33198,,,11,234141,910,764,0,1860,390
32891,31905,Directed,32891_31905,,,1,27000,130,55,0,261,36
31714,30325,Directed,31714_30325,,,147,4458484,20246,17939,1553,24105,33406
30299,31512,Directed,30299_31512,,,4,108000,0,0,42020,1845,539
30158,30994,Directed,30158_30994,,,6,163100,746,672,0,3270,506
31295,30676,Directed,31295_30676,,,1,21226,0,0,5541,419,63
32575,30781,Directed,32575_30781,,,2,68895,284,244,0,3218,398
30590,30693,Directed,30590_30693,,,2,54000,260,253,0,3130,366
34952,30852,Directed,34952_30852,,,5,214246,816,805,0,3400,476
30643,30977,Directed,30643_30977,,,106,2650000,12402,4066,0,3728,7202
34524,31764,Directed,34524_31764,,,1,7200,34,26,0,306,70
30397,34512,Directed,30397_34512,,,187,15120096,0,0,4615220,10288,16722
32755,32748,Directed,32755_32748,,,2,4230,15,11,0,178,64
33044,31612,Directed,33044_31612,,,1,11486,50,44,0,98,25
32457,30423,Directed,32457_30423,,,2515,76967875,288974,239306,335965,143128,455456
30713,31563,Directed,30713_31563,,,5,170000,750,624,0,1130,192
34828,34270,Directed,34828_34270,,,91,82400,335,145,0,1054,3414
30693,31986,Directed,30693_31986,,,1,39349,148,148,0,470,99
32457,30466,Directed,32457_30466,,,12797,479506920,1644560,1194628,19930179,208317,1162455
34880,32087,Directed,34880_32087,,,3,3300,15,5,300,274,133
33282,30852,Directed,33282_30852,,,501,3607200,17034,9584,0,1680,20023
31650,33486,Directed,31650_33486,,,550,12904797,48738,40853,3764,24312,81576
30721,32457,Directed,30721_32457,,,4040,172370914,640197,556220,1201109,240391,1471901
34492,33830,Directed,34492_33830,,,1,80930,210,160,6550,4721,620
30466,31995,Directed,30466_31995,,,1,51700,183,96,946,1825,243
34057,30423,Directed,34057_30423,,,2,76571,333,317,32,3430,488
35502,34275,Directed,35502_34275,,,1,6400,30,20,0,665,345
31833,33415,Directed,31833_33415,,,1,3800,19,19,0,154,35
30431,31823,Directed,30431_31823,,,1,13500,50,42,0,409,131
30466,31454,Directed,30466_31454,,,1267,58293190,208486,185685,512076,72093,277544
30299,33105,Directed,30299_33105,,,742,196183348,0,0,169288972,127510,248947
32337,34653,Directed,32337_34653,,,31,1777683,162,125,978885,1734,2630
35124,35061,Directed,35124_35061,,,1,750,3,2,0,104,36
33377,33076,Directed,33377_33076,,,1,51300,188,156,0,785,107
31563,33342,Directed,31563_33342,,,4,132000,600,596,0,5408,655
32769,35478,Directed,32769_35478,,,44,72675,114,28,2172,1760,2239
34254,31454,Directed,34254_31454,,,436,16138400,64650,49944,300,15333,68857
30559,34614,Directed,30559_34614,,,3265,124759851,462657,378986,874023,74418,296076
31066,30279,Directed,31066_30279,,,2,74800,274,246,0,2163,386
33541,34685,Directed,33541_34685,,,1,3000,13,2,0,867,114
32896,30189,Directed,32896_30189,,,1,12646,50,36,0,390,84
30299,35478,Directed,30299_35478,,,816,9200297,13000,6065,1427127,36504,72384
31659,31650,Directed,31659_31650,,,1,5600,0,0,2970,547,85
33244,31778,Directed,33244_31778,,,966,12071725,47900,35321,0,4980,42806
30693,35249,Directed,30693_35249,,,1,12350,50,38,0,417,65
30135,34761,Directed,30135_34761,,,226,7684000,33900,32332,0,9702,28038
34474,32214,Directed,34474_32214,,,13,41330,126,31,1955,720,386
31295,34057,Directed,31295_34057,,,162,7029649,26358,24175,5282,35154,41887
31123,31057,Directed,31123_31057,,,2042,57124204,209792,167949,44014,39112,167797
30113,35257,Directed,30113_35257,,,1020,1336300,5550,1905,111490,3361,23626
30559,33667,Directed,30559_33667,,,1,42380,157,154,2774,2437,367
35991,30299,Directed,35991_30299,,,26,407845,864,309,42272,5214,1989
30416,32779,Directed,30416_32779,,,2,4750,15,12,0,384,160
31703,30268,Directed,31703_30268,,,1,15460,0,0,900,951,190
31007,31517,Directed,31007_31517,,,60,110045,439,153,1670,7093,3521
32784,34273,Directed,32784_34273,,,16,52211,136,57,165,678,505
30140,30713,Directed,30140_30713,,,1,36700,137,111,0,781,102
32575,35447,Directed,32575_35447,,,1,2000,7,1,0,1740,215
33316,30928,Directed,33316_30928,,,3,48132,205,114,0,795,164
33968,31588,Directed,33968_31588,,,1680,2008800,8376,65,0,216,20160
31504,32265,Directed,31504_32265,,,35,1890023,5911,3241,0,9660,4431
35374,32945,Directed,35374_32945,,,3,57400,217,190,0,1047,174
33792,30157,Directed,33792_30157,,,107,1849272,7868,3562,3285,805,3551
30868,30167,Directed,30868_30167,,,1,15500,0,0,11993,911,162
34783,36133,Directed,34783_36133,,,1,35000,156,116,0,735,85
31454,31295,Directed,31454_31295,,,3316,160616709,613949,549650,112630,97614,434628
31703,33198,Directed,31703_33198,,,3697,67105906,256285,187995,20152,118170,604805
35887,33579,Directed,35887_33579,,,5,16400,45,25,15,338,150
30194,34524,Directed,30194_34524,,,1079,40291499,150687,116814,12063,26634,153079
30559,30666,Directed,30559_30666,,,2715,37838056,150332,116147,687686,4191,92685
35356,31066,Directed,35356_31066,,,1,18500,0,0,1159,431,78
33806,32214,Directed,33806_32214,,,1,3400,9,9,0,85,35
30852,35412,Directed,30852_35412,,,1900,23726401,95615,57241,11887,16622,130538
31711,30558,Directed,31711_30558,,,1,4500,19,6,0,432,106
31986,31973,Directed,31986_31973,,,4,144481,558,477,0,3528,488
32149,33198,Directed,32149_33198,,,1,30000,0,0,320,771,121
34986,32467,Directed,34986_32467,,,6,203810,824,762,302,1068,270
33728,31641,Directed,33728_31641,,,1,17600,70,70,0,575,99
30245,34464,Directed,30245_34464,,,3,16836,0,0,4154,170,79
30577,31295,Directed,30577_31295,,,944,11805240,47213,36767,0,5670,62534
31003,33044,Directed,31003_33044,,,257,22835028,0,0,13040148,8140,16902
