Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
34877,34512,Directed,34877_34512,,,4,95600,0,0,43571,1524,283
30140,33244,Directed,30140_33244,,,318,38069536,0,0,12739218,32970,36705
32575,34162,Directed,32575_34162,,,2,7000,0,0,3201,59,115
30559,30397,Directed,30559_30397,,,2779,150600930,514661,475222,5291509,202926,695088
33105,30194,Directed,33105_30194,,,3042,63506044,153775,102728,14353173,71449,377661
32769,35478,Directed,32769_35478,,,41,84050,120,17,2407,1339,1941
30397,31641,Directed,30397_31641,,,2628,42181741,164572,116807,6156,11254,132319
30559,32134,Directed,30559_32134,,,1727,97673628,335115,298434,5799297,112434,583330
31650,30849,Directed,31650_30849,,,881,26609169,101685,90082,39875,49818,111403
32195,32831,Directed,32195_32831,,,7,28200,45,16,1426,645,331
32467,34492,Directed,32467_34492,,,1704,61292554,234762,195704,123674,39800,170958
30615,31430,Directed,30615_31430,,,1,52981,0,0,9746,544,76
33195,31871,Directed,33195_31871,,,170,5907944,28111,24674,27,8666,11827
30666,31588,Directed,30666_31588,,,1586,2315950,6980,343,172323,612,18533
32457,33198,Directed,32457_33198,,,1048,23671542,90910,79143,212091,53704,187720
30559,31895,Directed,30559_31895,,,755,15966792,55400,44990,445634,11264,59880
31517,31555,Directed,31517_31555,,,3,73230,144,131,5796,939,234
32337,34131,Directed,32337_34131,,,188,658000,0,0,353471,3132,16150
30397,30852,Directed,30397_30852,,,18311,588393806,2474973,1886490,1409522,233293,1434796
33667,33244,Directed,33667_33244,,,546,36841957,50,43,16384631,25024,63105
34102,34125,Directed,34102_34125,,,89,347250,823,325,6128,3484,3779
30928,33198,Directed,30928_33198,,,11,343530,823,416,22705,1860,538
31714,30325,Directed,31714_30325,,,178,5432065,24747,22982,77004,27319,40147
30397,34512,Directed,30397_34512,,,5,535391,0,0,180144,643,456
34524,35842,Directed,34524_35842,,,1,63087,0,0,12814,227,43
32457,30423,Directed,32457_30423,,,3335,97053535,388784,327418,509804,188671,607648
33947,30299,Directed,33947_30299,,,3,750000,0,0,324161,2868,1023
31986,32337,Directed,31986_32337,,,208,20170572,120,115,10763354,3996,8445
30325,31267,Directed,30325_31267,,,851,23525659,95615,86044,2602,53165,110019
