Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
33304,30590,Directed,33304_30590,,,11,423256,1612,1439,0,12452,1540
31503,30325,Directed,31503_30325,,,713,12760223,51886,32320,0,2625,24540
30559,30397,Directed,30559_30397,,,2779,150600930,514661,475222,5291509,202926,695088
33105,30194,Directed,33105_30194,,,3042,63506044,153775,102728,14353173,71449,377661
34057,31898,Directed,34057_31898,,,1,34323,126,103,0,1212,154
35165,32455,Directed,35165_32455,,,1,6400,30,26,0,542,126
32769,35478,Directed,32769_35478,,,41,84050,120,17,2407,1339,1941
30397,31641,Directed,30397_31641,,,2628,42181741,164572,116807,6156,11254,132319
32945,31995,Directed,32945_31995,,,2,62385,192,48,0,580,95
30559,32134,Directed,30559_32134,,,1727,97673628,335115,298434,5799297,112434,583330
30577,31066,Directed,30577_31066,,,1,2396,7,5,0,392,0
34601,33676,Directed,34601_33676,,,3,4000,14,5,0,168,76
31650,30849,Directed,31650_30849,,,881,26609169,101685,90082,39875,49818,111403
32195,32831,Directed,32195_32831,,,7,28200,45,16,1426,645,331
31295,31067,Directed,31295_31067,,,4,91384,269,101,0,1174,158
32467,34492,Directed,32467_34492,,,1704,61292554,234762,195704,123674,39800,170958
33192,35389,Directed,33192_35389,,,1,17740,65,60,0,456,123
33195,31871,Directed,33195_31871,,,170,5907944,28111,24674,27,8666,11827
33316,30285,Directed,33316_30285,,,1,10000,50,40,0,697,151
34082,31871,Directed,34082_31871,,,106,3604000,17212,15034,0,6600,8250
31267,30135,Directed,31267_30135,,,2,22240,100,81,0,934,171
30666,31588,Directed,30666_31588,,,1586,2315950,6980,343,172323,612,18533
30599,32448,Directed,30599_32448,,,2,44600,193,114,0,424,102
30599,31834,Directed,30599_31834,,,1,34000,166,147,0,468,72
30325,35843,Directed,30325_35843,,,15,67500,285,141,0,1650,1212
31638,30852,Directed,31638_30852,,,1,34000,166,149,0,2334,270
35041,32457,Directed,35041_32457,,,18,320555,1188,501,0,587,1645
32457,33198,Directed,32457_33198,,,1048,23671542,90910,79143,212091,53704,187720
30559,31895,Directed,30559_31895,,,755,15966792,55400,44990,445634,11264,59880
31517,31555,Directed,31517_31555,,,3,73230,144,131,5796,939,234
33731,30154,Directed,33731_30154,,,2,4566,18,5,0,132,62
31650,35381,Directed,31650_35381,,,554,2493000,10526,2038,0,3132,35954
34025,34761,Directed,34025_34761,,,173,7090400,28452,25440,0,21150,28610
30397,30852,Directed,30397_30852,,,18311,588393806,2474973,1886490,1409522,233293,1434796
33244,32474,Directed,33244_32474,,,1,42750,162,146,0,288,50
32320,30540,Directed,32320_30540,,,1,3450,8,3,0,296,60
33667,33244,Directed,33667_33244,,,546,36841957,50,43,16384631,25024,63105
31973,30868,Directed,31973_30868,,,6,220722,851,749,0,3150,418
34102,34125,Directed,34102_34125,,,89,347250,823,325,6128,3484,3779
30928,33198,Directed,30928_33198,,,11,343530,823,416,22705,1860,538
35356,31295,Directed,35356_31295,,,112,3391808,15594,14351,0,3712,9147
31714,30325,Directed,31714_30325,,,178,5432065,24747,22982,77004,27319,40147
30158,30994,Directed,30158_30994,,,11,315030,1135,1005,0,5995,954
30590,30693,Directed,30590_30693,,,4,114412,396,357,0,6260,755
34524,31267,Directed,34524_31267,,,3,53893,246,116,0,1224,286
34524,31764,Directed,34524_31764,,,1,6400,30,27,0,306,60
32457,30423,Directed,32457_30423,,,3335,97053535,388784,327418,509804,188671,607648
30713,31563,Directed,30713_31563,,,3,102000,450,419,0,678,108
34828,34270,Directed,34828_34270,,,6,6000,24,11,0,124,245
30693,32280,Directed,30693_32280,,,1,20640,76,72,0,1437,227
30693,31986,Directed,30693_31986,,,1,12350,50,50,0,470,111
31986,32337,Directed,31986_32337,,,208,20170572,120,115,10763354,3996,8445
30325,31267,Directed,30325_31267,,,851,23525659,95615,86044,2602,53165,110019
33282,30852,Directed,33282_30852,,,422,2855250,13857,6346,0,1680,17372
31650,33486,Directed,31650_33486,,,547,15054626,56728,48479,19426,33429,80238
30721,32457,Directed,30721_32457,,,4312,169025246,685519,615070,1200171,294516,1563167
34057,30423,Directed,34057_30423,,,98,3391500,14000,12730,20642,8575,20447
32896,32134,Directed,32896_32134,,,1,80700,213,202,11370,3505,447
31703,31097,Directed,31703_31097,,,1,28292,118,118,0,1783,257
32323,35502,Directed,32323_35502,,,9,257427,891,750,0,6399,1035
30431,31823,Directed,30431_31823,,,1,13500,50,46,0,409,90
30466,31454,Directed,30466_31454,,,1239,57238374,213677,192719,590505,94299,269915
32720,31511,Directed,32720_31511,,,2,3875,14,8,0,136,50
32337,34653,Directed,32337_34653,,,2,52900,185,182,435,1154,257
31884,30721,Directed,31884_30721,,,1,30000,150,92,0,2273,245
31517,30559,Directed,31517_30559,,,1044,41012754,157045,126489,156450,73584,196527
31898,34057,Directed,31898_34057,,,1,34323,126,103,0,1212,175
30852,33461,Directed,30852_33461,,,1,6400,30,13,0,583,210
30785,32932,Directed,30785_32932,,,1,2396,7,2,0,72,0
30747,32467,Directed,30747_32467,,,10,317100,1500,999,0,3201,1465
30559,34614,Directed,30559_34614,,,3496,145836844,553750,425733,727527,71656,316879
30627,30141,Directed,30627_30141,,,1,13500,50,37,0,144,27
31066,30279,Directed,31066_30279,,,1,34600,143,91,0,1081,164
31057,31267,Directed,31057_31267,,,2021,31679342,123031,100016,42716,9250,125532
32896,30189,Directed,32896_30189,,,2,20000,100,92,0,778,182
30299,35478,Directed,30299_35478,,,929,11288461,18781,8103,1613825,42444,81975
34614,31066,Directed,34614_31066,,,4,198278,721,643,0,4584,688
31135,32223,Directed,31135_32223,,,56,1904000,9296,8047,0,1910,3246
34524,31577,Directed,34524_31577,,,1,12500,50,7,0,350,126
32822,30299,Directed,32822_30299,,,2,4800,18,10,0,587,252
33851,30781,Directed,33851_30781,,,1,29592,56,55,0,502,70
34474,32214,Directed,34474_32214,,,2,4150,12,8,206,144,53
31295,34057,Directed,31295_34057,,,298,12148267,46528,41562,24217,42966,77669
31123,31057,Directed,31123_31057,,,2080,56381448,205977,171255,43086,32775,171886
30113,35257,Directed,30113_35257,,,822,1145650,4795,1700,59697,2849,18783
35991,30299,Directed,35991_30299,,,36,363846,163,66,104658,5222,3224
34273,32748,Directed,34273_32748,,,1,3000,9,6,0,221,53
31007,31517,Directed,31007_31517,,,90,192432,772,127,8234,4146,5147
32784,34273,Directed,32784_34273,,,32,87675,284,85,12,684,1117
32211,30172,Directed,32211_30172,,,1,44562,162,21,0,2098,228
32575,35447,Directed,32575_35447,,,1,2000,8,1,0,1733,196
33316,30928,Directed,33316_30928,,,1,17740,65,59,0,265,43
33968,31588,Directed,33968_31588,,,1120,1339200,5584,64,0,144,13440
32709,33196,Directed,32709_33196,,,2,4000,18,9,0,238,147
33792,30157,Directed,33792_30157,,,11,46586,60,20,9860,594,431
33676,33228,Directed,33676_33228,,,1,800,3,2,0,13,9
33367,31973,Directed,33367_31973,,,1,38604,150,2,0,765,103
31454,31295,Directed,31454_31295,,,3372,157101187,608830,526814,226623,107199,440463
31986,30189,Directed,31986_30189,,,5,107246,410,328,0,5205,850
31703,33198,Directed,31703_33198,,,2844,44608802,182343,129428,22090,111615,463310
35887,33579,Directed,35887_33579,,,6,19800,54,16,276,408,161
30194,34524,Directed,30194_34524,,,1021,38501188,139517,109219,45384,16212,143826
34718,35862,Directed,34718_35862,,,1,3400,9,1,0,143,49
35356,31066,Directed,35356_31066,,,80,2431296,11178,9485,0,3424,5628
31648,33486,Directed,31648_33486,,,4,54000,200,133,0,291,108
30852,35412,Directed,30852_35412,,,1823,21311185,91698,60000,15158,15043,127284
31986,31973,Directed,31986_31973,,,1,38604,150,132,0,882,119
34986,32467,Directed,34986_32467,,,4,133870,549,462,0,526,177
31650,32389,Directed,31650_32389,,,1027,13773500,51350,39900,0,6552,89216
31898,31695,Directed,31898_31695,,,1,33824,126,103,0,1156,149
30245,34464,Directed,30245_34464,,,3,3600,18,2,842,252,163
31703,30519,Directed,31703_30519,,,1,5300,7,4,0,1077,198
32467,30198,Directed,32467_30198,,,1243,23866595,101296,85141,20202,46123,171917
30257,34802,Directed,30257_34802,,,1,42500,173,116,0,409,65
30208,35167,Directed,30208_35167,,,1,5300,7,1,0,675,96
33198,30397,Directed,33198_30397,,,3820,136271004,569075,458878,714269,55338,356150
32467,30158,Directed,32467_30158,,,818,28981400,144681,127067,64,35172,103655
35709,33873,Directed,35709_33873,,,521,1647850,4227,1198,16091,12208,19730
