Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1090,37360203,155389,123874,311208,58976,135750
30,56,Directed,30_56,,,13,471562,642,531,55299,4121,883
1,20,Directed,1_20,,,2,20000,100,83,0,1295,306
21,17,Directed,21_17,,,15396,338193103,848299,579991,82707654,110911,828525
8,51,Directed,8_51,,,5513,209286801,844394,733733,557294,263983,942262
24,28,Directed,24_28,,,226,7469612,31327,19953,51812,21216,30134
18,44,Directed,18_44,,,4,43900,180,78,0,2330,439
4,30,Directed,4_30,,,488,18956099,79542,71683,0,67936,60770
25,13,Directed,25_13,,,5447,202535977,811370,711416,1565587,103123,757241
47,24,Directed,47_24,,,2773,143513224,311478,231821,46166035,55314,234703
20,32,Directed,20_32,,,425,14354660,65186,59130,1668,26622,58729
45,21,Directed,45_21,,,638,55685486,7650,4442,31091356,20634,36836
49,51,Directed,49_51,,,943,39767929,151631,131972,37658,110412,199987
26,8,Directed,26_8,,,4187,125660863,519646,457019,452774,231445,660236
16,12,Directed,16_12,,,2,48405,172,121,0,4332,232
39,48,Directed,39_48,,,8072,226894568,856334,688400,210972,285009,1191396
2,48,Directed,2_48,,,1146,240538078,51211,46109,187158800,273853,99833
42,49,Directed,42_49,,,563,21819708,81667,70673,46598,59203,149225
45,47,Directed,45_47,,,1464,74906257,103692,75200,20574960,39815,95990
24,49,Directed,24_49,,,1016,38240890,150848,132840,232313,61545,263719
13,44,Directed,13_44,,,1038,33601708,150640,126451,111729,18060,118841
33,47,Directed,33_47,,,551,76686581,165,113,39932047,39825,89067
12,16,Directed,12_16,,,2,76860,288,245,0,4260,608
24,27,Directed,24_27,,,1418,44148867,173479,137059,53168,80442,193846
12,38,Directed,12_38,,,217,8631786,35821,29871,0,57288,46125
37,72,Directed,37_72,,,1095,74449476,159694,139620,11686572,103197,199999
33,37,Directed,33_37,,,425,8700814,34875,29688,272,18187,51341
26,6,Directed,26_6,,,4362,241430532,849322,748845,3419162,394293,1153684
36,35,Directed,36_35,,,256,9621700,38250,28111,25585,18260,63857
41,17,Directed,41_17,,,2970,113516286,452921,417882,954737,231593,614059
8,10,Directed,8_10,,,104,4160000,17472,15487,2357,9246,18598
40,12,Directed,40_12,,,148,5352991,22070,14433,6444,30778,19572
44,18,Directed,44_18,,,237,14755858,412,379,5431539,13183,24683
37,33,Directed,37_33,,,433,8915970,35317,29800,1403,21225,43540
20,44,Directed,20_44,,,1,44562,162,36,0,1338,0
17,47,Directed,17_47,,,15151,380572091,959416,746832,90076978,157674,1031847
36,26,Directed,36_26,,,20034,364555447,1462903,1143915,938677,255738,1452917
29,34,Directed,29_34,,,3739,54562398,251121,187608,234381,65285,471293
26,5,Directed,26_5,,,612,10264797,40393,26542,6736,39908,63570
19,54,Directed,19_54,,,3,91199,291,225,0,2172,267
2,41,Directed,2_41,,,1036,42463610,160348,128424,1021724,91531,198523
50,33,Directed,50_33,,,1,2396,7,2,0,72,0
17,37,Directed,17_37,,,13441,361501761,1394436,1156517,1031213,252638,1142688
21,19,Directed,21_19,,,479,38643394,368,210,21397598,22009,32234
27,38,Directed,27_38,,,12244,178222261,676302,484357,811473,122747,759624
19,42,Directed,19_42,,,153,18594164,580,148,9925059,21391,18645
23,17,Directed,23_17,,,1007,17077930,65082,58761,17331,34782,136244
27,13,Directed,27_13,,,5587,221148550,875125,753589,855643,131700,664111
39,22,Directed,39_22,,,318,4011247,15717,12553,123586,63125,44209
29,9,Directed,29_9,,,5,148600,608,481,1287,4997,822
39,33,Directed,39_33,,,742,8109840,37176,31413,0,15509,55927
36,34,Directed,36_34,,,8473,115184068,374591,293065,6391341,87035,443088
37,21,Directed,37_21,,,10056,289267946,544880,426714,64789881,106129,601018
25,54,Directed,25_54,,,2,43820,177,108,0,994,193
29,33,Directed,29_33,,,1,34600,137,137,0,1031,140
5,6,Directed,5_6,,,151,3097231,11482,8956,136862,23937,27796
9,16,Directed,9_16,,,1,43917,168,77,0,2196,292
29,40,Directed,29_40,,,1664,55107380,231153,143308,422941,34213,101523
35,42,Directed,35_42,,,1,40000,168,155,0,1486,183
39,13,Directed,39_13,,,12072,347941042,1504394,1159652,515366,173795,928385
51,47,Directed,51_47,,,9823,298510217,455893,308533,95703151,230234,930023
26,1,Directed,26_1,,,1850,23583754,92720,69241,35791,32972,163492
46,29,Directed,46_29,,,6,354189,192,148,80039,1558,367
