Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1294,44308260,189632,154820,129386,77452,159182
30,56,Directed,30_56,,,24,531336,1588,1165,15475,6651,1687
1,20,Directed,1_20,,,2,41375,70,36,350,1390,210
21,17,Directed,21_17,,,14731,456221636,873713,661214,163933338,146584,800439
8,51,Directed,8_51,,,5367,203402060,859410,770216,732683,253123,912558
24,28,Directed,24_28,,,4,61775,259,162,0,3334,492
18,44,Directed,18_44,,,5,92131,291,121,0,3862,469
4,30,Directed,4_30,,,474,27905316,76542,67188,0,93229,57962
25,13,Directed,25_13,,,5650,236898856,916071,812553,2116638,166585,772911
47,24,Directed,47_24,,,3123,175260099,356818,262400,51402911,81903,268853
20,32,Directed,20_32,,,501,17213838,74725,63434,5303,34838,68366
45,21,Directed,45_21,,,714,71604012,19637,15209,31744731,35426,43433
16,22,Directed,16_22,,,4,172722,659,555,0,6515,771
51,2,Directed,51_2,,,2,961800,0,0,186699,6712,823
49,51,Directed,49_51,,,683,30977998,117567,106956,4978,70316,145508
26,8,Directed,26_8,,,4282,151795246,610851,544982,337525,284055,667172
32,35,Directed,32_35,,,1490,51301122,215287,157540,94811,24046,95711
16,12,Directed,16_12,,,1,40580,163,157,0,2352,281
34,50,Directed,34_50,,,1654,19831848,89573,77818,1124,13759,79017
2,48,Directed,2_48,,,1154,253607901,34743,31800,190420751,380354,80103
42,49,Directed,42_49,,,537,25335455,86652,71834,84774,68838,141865
45,47,Directed,45_47,,,955,48404003,56513,46622,17817378,28685,67021
24,49,Directed,24_49,,,1034,40486780,160717,143319,266676,95107,267092
13,44,Directed,13_44,,,1042,34582652,153592,134108,128627,29789,120202
33,47,Directed,33_47,,,522,66054178,8,3,36603059,22439,85212
12,16,Directed,12_16,,,1,42500,173,159,0,1984,280
24,27,Directed,24_27,,,1938,70585212,290748,239756,198142,87984,262658
49,41,Directed,49_41,,,5061,141664748,553894,455438,378374,143588,453250
37,72,Directed,37_72,,,847,52158300,167255,148948,1371938,60332,156958
44,33,Directed,44_33,,,3,18130,53,38,0,321,88
33,37,Directed,33_37,,,730,15983807,55325,46884,0,24897,87165
26,6,Directed,26_6,,,4539,242993263,889546,804147,1827544,434837,1204486
36,35,Directed,36_35,,,332,12446800,50010,43499,0,31042,83320
41,17,Directed,41_17,,,3331,136793113,548973,505260,854811,264603,683481
40,12,Directed,40_12,,,314,16216235,51550,41871,13534,65551,40138
26,15,Directed,26_15,,,1,106700,294,146,0,4475,552
44,18,Directed,44_18,,,229,14195744,631,380,5455143,14125,23898
37,33,Directed,37_33,,,743,16237364,56404,46248,670,24793,75225
20,44,Directed,20_44,,,1,35000,168,112,0,1289,160
17,47,Directed,17_47,,,14384,434447533,1107121,899948,92401425,252196,963807
36,26,Directed,36_26,,,17694,384565822,1461781,1169216,2502582,341322,1279365
29,34,Directed,29_34,,,3123,58966879,244452,200047,170530,114993,390543
49,16,Directed,49_16,,,9611,183091730,499304,390722,18820619,73115,436583
19,54,Directed,19_54,,,3,97939,378,230,2700,2172,267
2,41,Directed,2_41,,,1061,43837855,173566,141681,775656,110499,204253
50,33,Directed,50_33,,,2,36320,157,143,0,184,82
17,37,Directed,17_37,,,11957,404114660,1501910,1217060,4132902,284600,1020497
21,19,Directed,21_19,,,372,33555026,399,236,23389657,21819,24610
27,38,Directed,27_38,,,9035,160081894,619224,472571,212385,114631,524695
19,42,Directed,19_42,,,153,18510032,561,253,8422162,17870,18465
23,17,Directed,23_17,,,1207,18030616,76399,68037,7772,65565,167063
46,22,Directed,46_22,,,2,39460,152,105,0,1568,287
23,27,Directed,23_27,,,1,2310,8,2,0,1170,0
27,13,Directed,27_13,,,5542,233412836,921960,795130,1181876,183139,652957
39,22,Directed,39_22,,,43,3496017,5695,3942,18462,17960,5603
29,9,Directed,29_9,,,2,66800,280,139,0,2126,299
39,33,Directed,39_33,,,2,21486,100,81,0,1173,235
36,34,Directed,36_34,,,8769,102416231,366131,302386,3998426,87917,442589
37,21,Directed,37_21,,,9724,302111759,561493,420050,66563800,107011,556073
25,54,Directed,25_54,,,1,3450,8,3,0,497,132
29,33,Directed,29_33,,,1,32200,137,87,765,1031,160
5,6,Directed,5_6,,,971,22434443,74814,47189,89745,64193,191055
2,25,Directed,2_25,,,1,2801,14,2,0,3383,0
29,40,Directed,29_40,,,1446,59448417,182399,133226,5844102,32513,87492
27,33,Directed,27_33,,,1,44416,162,95,0,1120,135
35,42,Directed,35_42,,,2,69200,286,256,0,2972,468
31,1,Directed,31_1,,,2,71040,309,201,14,1464,301
51,47,Directed,51_47,,,8378,297610707,462604,355009,96383788,198774,757050
26,1,Directed,26_1,,,1267,17098968,64611,50754,61958,32088,113390
46,29,Directed,46_29,,,6,341595,126,111,116190,1728,330
1,18,Directed,1_18,,,3,112500,360,319,0,1620,236
24,35,Directed,24_35,,,582,20726338,85406,75463,110579,41750,132955
18,27,Directed,18_27,,,3225,107112250,254504,205958,23463123,95337,262212
22,24,Directed,22_24,,,978,34116400,141517,112406,339402,36926,124200
39,25,Directed,39_25,,,3521,72629778,304482,247930,84173,63229,297123
35,17,Directed,35_17,,,1681,45788338,183793,154933,66868,91694,232240
39,38,Directed,39_38,,,4,107712,370,289,0,3596,541
36,33,Directed,36_33,,,1483,18200306,51368,32812,1451132,23767,77020
1,53,Directed,1_53,,,1,81900,189,33,0,2080,276
53,13,Directed,53_13,,,3192,170792227,609910,549522,6028493,242416,800082
21,6,Directed,21_6,,,6121,736954420,177668,153723,351609820,694681,1499381
15,2,Directed,15_2,,,471,23022329,72987,60423,582270,95237,156416
35,51,Directed,35_51,,,1,3000,8,2,0,1628,180
45,33,Directed,45_33,,,1,82900,189,28,0,802,101
28,32,Directed,28_32,,,4,110560,477,393,0,2970,755
6,18,Directed,6_18,,,4132,415235356,221983,175596,210613402,576605,866350
21,5,Directed,21_5,,,513,28070185,12837,6679,17213903,16705,39606
29,49,Directed,29_49,,,1406,42484000,164285,129364,377511,96905,209846
30,13,Directed,30_13,,,101,4097427,15656,14359,2231,27166,19760
48,56,Directed,48_56,,,559,19416244,70195,53329,432,27737,84791
17,6,Directed,17_6,,,32618,1520996035,5271580,4743966,97666230,1641123,7657491
34,23,Directed,34_23,,,2104,25346250,113401,99300,23613,24526,110289
18,20,Directed,18_20,,,11,314108,1340,953,0,5311,1076
37,1,Directed,37_1,,,6550,96396619,372769,284030,42374,55419,413805
48,49,Directed,48_49,,,8023,248799988,926265,794789,5606326,473680,1191624
35,18,Directed,35_18,,,3,98400,380,187,0,3556,453
38,38,Directed,38_38,,,3498,25247810,45921,13113,3936762,39766,219110
4,8,Directed,4_8,,,12779,412078787,1658756,1408253,927539,262819,999044
19,38,Directed,19_38,,,3,181038,320,265,27678,1276,184
6,6,Directed,6_6,,,281742,8209871095,29213340,21619917,428602810,1632630,15340713
